,0,1,2,3,4,5,label
172,-0.18182847,-0.18251868,-0.11658678,-0.12849277,-0.12777124,-0.07556206,2
173,-0.16917743,-0.16438644,-0.10769511,-0.11575184,-0.119272344,-0.07043759,2
174,-0.15348497,-0.150015,-0.09401419,-0.10778892,-0.11267195,-0.060869854,2
175,-0.14576675,-0.14176302,-0.08686863,-0.10166622,-0.105389915,-0.05746543,2
176,-0.1348144,-0.13250676,-0.083097816,-0.09713597,-0.09791734,-0.054439846,2
177,-0.12563331,-0.12635042,-0.07761156,-0.09140795,-0.089501984,-0.050902955,2
178,-0.119186066,-0.12055132,-0.071168385,-0.08735403,-0.08396694,-0.04713775,2
179,-0.11400706,-0.11511223,-0.06699667,-0.08390158,-0.07925038,-0.04402798,2
180,-0.1100038,-0.109173186,-0.063118644,-0.07973181,-0.0755507,-0.041693617,2
181,-0.10411573,-0.1035826,-0.058391638,-0.07546606,-0.07113579,-0.038908787,2
182,-0.09925274,-0.09972201,-0.056813207,-0.072392665,-0.06925713,-0.037169214,2
183,-0.09209104,-0.094224624,-0.050624095,-0.06779311,-0.06435198,-0.031985555,2
184,-0.084482774,-0.085914105,-0.046876196,-0.061672926,-0.057540946,-0.029992133,2
185,-0.08128199,-0.08159005,-0.04275306,-0.058425825,-0.05587491,-0.026472004,2
186,-0.07464188,-0.07613191,-0.04028121,-0.05441438,-0.052025966,-0.025677197,2
187,-0.07388241,-0.07523943,-0.038487457,-0.053614505,-0.05144017,-0.02445983,2
188,-0.0712134,-0.07207063,-0.036604118,-0.052931145,-0.049392827,-0.023127723,2
189,-0.06720744,-0.0686745,-0.035711143,-0.049230315,-0.04597485,-0.022500833,2
190,-0.066701524,-0.06605495,-0.03415333,-0.046878487,-0.045520775,-0.021552902,2
191,-0.06371314,-0.06360932,-0.033792526,-0.043894235,-0.043263722,-0.021314517,2
192,-0.06438178,-0.0647643,-0.03565954,-0.044677477,-0.04343455,-0.02215687,2
193,-0.062502354,-0.062423576,-0.03537221,-0.042679183,-0.04191286,-0.022128947,2
194,-0.06155075,-0.06148715,-0.035087053,-0.0428413,-0.041911896,-0.022290673,2
195,-0.0599933,-0.06062656,-0.034254614,-0.04086489,-0.04040168,-0.02135322,2
196,-0.058543134,-0.059130296,-0.033148494,-0.039895304,-0.039379507,-0.020955322,2
197,-0.05778083,-0.058371395,-0.03248669,-0.039850295,-0.03960055,-0.020311242,2
198,-0.057393305,-0.05799148,-0.032739438,-0.03940057,-0.039209764,-0.020127034,2
199,-0.057421938,-0.05792913,-0.03272382,-0.039434243,-0.039274395,-0.02003671,2
200,-0.05674291,-0.057250626,-0.032063056,-0.038973335,-0.038794182,-0.019798933,2
201,-0.056934,-0.057286985,-0.032098267,-0.03896422,-0.038898215,-0.019848034,2
202,-0.057324193,-0.057672687,-0.032597516,-0.039210595,-0.039176885,-0.020193577,2
203,-0.057457726,-0.057786424,-0.032682072,-0.039278273,-0.039237693,-0.020273669,2
204,-0.05737729,-0.057481594,-0.032570917,-0.039214995,-0.039206445,-0.020213794,2
