0,1,2,3,4,5,label
-0.13999343,-0.14128591,-0.07172932,-0.09206789,-0.09194393,-0.045819383,1
-0.14539415,-0.14650474,-0.07686188,-0.09614324,-0.09636918,-0.048275642,1
-0.14567411,-0.14586106,-0.0763797,-0.097022295,-0.09686955,-0.04877228,1
-0.14421634,-0.14446592,-0.07696707,-0.09679089,-0.09641852,-0.04846811,1
-0.14573629,-0.14694825,-0.0776069,-0.09757408,-0.097529635,-0.0488051,1
-0.14754441,-0.14965253,-0.07716127,-0.09829964,-0.09870599,-0.048699994,1
-0.14480029,-0.147042,-0.07565173,-0.096647635,-0.09849359,-0.04766722,1
-0.14079711,-0.14332928,-0.07415154,-0.093382254,-0.0955247,-0.047287717,1
-0.13613634,-0.13931857,-0.07209629,-0.09065467,-0.092564344,-0.046165142,1
-0.13335386,-0.13651286,-0.070671275,-0.0895646,-0.09149557,-0.045238134,1
-0.12939492,-0.13259222,-0.06751197,-0.08642775,-0.08887892,-0.04330185,1
-0.120564826,-0.12407118,-0.062041033,-0.081881866,-0.082255915,-0.040460397,1
-0.115751356,-0.11868691,-0.05984505,-0.07904458,-0.078981854,-0.038900673,1
-0.10813639,-0.11068446,-0.056470923,-0.07403437,-0.07366309,-0.036593776,1
-0.1032956,-0.10544774,-0.053472914,-0.071743116,-0.07148767,-0.0347168,1
-0.09788113,-0.09903011,-0.050507218,-0.06733626,-0.06721168,-0.032861046,1
-0.090214595,-0.09102881,-0.046744023,-0.062401474,-0.062032636,-0.030271316,1
-0.0863076,-0.08690383,-0.045367364,-0.059234437,-0.058817264,-0.029292813,1
-0.08367941,-0.08424908,-0.04439228,-0.057226997,-0.056863107,-0.02852258,1
-0.07892585,-0.079901494,-0.042713817,-0.054471947,-0.053935893,-0.027299356,1
-0.07411735,-0.074867636,-0.03976717,-0.050577812,-0.05038838,-0.025347456,1
-0.07009562,-0.071357645,-0.037490867,-0.04804264,-0.04804955,-0.02397616,1
-0.067611106,-0.06904891,-0.03560596,-0.04625415,-0.046441853,-0.023060618,1
-0.063622795,-0.06515288,-0.03300734,-0.043664612,-0.043839797,-0.02144327,1
-0.060258083,-0.061744127,-0.031123552,-0.04134333,-0.041627314,-0.020159952,1
-0.057151906,-0.058448132,-0.029656831,-0.038839247,-0.03937771,-0.019134067,1
-0.054832377,-0.05603105,-0.028415635,-0.0378023,-0.03792897,-0.018242972,1
-0.052878454,-0.054088183,-0.027980577,-0.036483396,-0.03645207,-0.017842097,1
-0.0497198,-0.050146356,-0.025909528,-0.034096114,-0.033781722,-0.016892472,1
-0.048300598,-0.048666067,-0.025543028,-0.033222374,-0.033019498,-0.016423192,1
-0.04514209,-0.04544116,-0.02406766,-0.03122647,-0.031267274,-0.015399459,1
-0.043643054,-0.043958522,-0.02345107,-0.03063784,-0.030299393,-0.014903042,1
-0.041260656,-0.041680064,-0.02202049,-0.028582327,-0.028108455,-0.014292999,1
-0.04133518,-0.041513644,-0.022468258,-0.028526599,-0.028294522,-0.014148573,1
-0.038912214,-0.03941039,-0.020988066,-0.026957745,-0.027086234,-0.013114818,1
-0.038360436,-0.03896178,-0.020276092,-0.026354497,-0.026654206,-0.01270782,1
-0.03647406,-0.037108082,-0.019310242,-0.025168758,-0.025377072,-0.012149966,1
-0.03538286,-0.03595209,-0.018541047,-0.024245083,-0.024537716,-0.01172936,1
-0.03474039,-0.0353573,-0.018288761,-0.023897255,-0.024168456,-0.011551337,1
